"","anpp","trt_type","n","p","site_code","project_name","treatment_year","calendar_year","plot_id","community_type","block","public","k","precip","successional","pulse","plant_mani"
"57",76.8912521244279,"N",10,0,"sev.nfert","Nfert",6,2009,4,"0","0","1","0","0","0","0","0"
"58",91.1966864002527,"N",10,0,"sev.nfert","Nfert",7,2010,4,"0","0","1","0","0","0","0","0"
"59",14.418089048026,"N",10,0,"sev.nfert","Nfert",8,2011,4,"0","0","1","0","0","0","0","0"
"60",139.08081132523,"N",10,0,"sev.nfert","Nfert",9,2012,4,"0","0","1","0","0","0","0","0"
"61",249.075265132842,"N",10,0,"sev.nfert","Nfert",10,2013,4,"0","0","1","0","0","0","0","0"
"62",222.482683199915,"N",10,0,"sev.nfert","Nfert",11,2014,4,"0","0","1","0","0","0","0","0"
"63",163.195398567903,"N",10,0,"sev.nfert","Nfert",12,2015,4,"0","0","1","0","0","0","0","0"
"64",356.326868160878,"N",10,0,"sev.nfert","Nfert",13,2016,4,"0","0","1","0","0","0","0","0"
"65",122.899846459165,"N",10,0,"sev.nfert","Nfert",14,2017,4,"0","0","1","0","0","0","0","0"
"66",61.2007329656292,"N",10,0,"sev.nfert","Nfert",15,2018,4,"0","0","1","0","0","0","0","0"
"67",7.7983530091536,"N",10,0,"sev.nfert","Nfert",16,2019,4,"0","0","1","0","0","0","0","0"
"68",22.8030151895074,"N",10,0,"sev.nfert","Nfert",17,2020,4,"0","0","1","0","0","0","0","0"
"69",52.5652453919997,"control",0,0,"sev.nfert","Nfert",1,2004,5,"0","0","1","0","0","0","0","0"
"70",95.1928323991475,"control",0,0,"sev.nfert","Nfert",2,2005,5,"0","0","1","0","0","0","0","0"
"71",149.903930673237,"control",0,0,"sev.nfert","Nfert",3,2006,5,"0","0","1","0","0","0","0","0"
"72",121.404398379034,"control",0,0,"sev.nfert","Nfert",4,2007,5,"0","0","1","0","0","0","0","0"
"73",41.0480401916087,"control",0,0,"sev.nfert","Nfert",5,2008,5,"0","0","1","0","0","0","0","0"
"74",46.3642617210658,"control",0,0,"sev.nfert","Nfert",6,2009,5,"0","0","1","0","0","0","0","0"
"75",101.256035536762,"control",0,0,"sev.nfert","Nfert",7,2010,5,"0","0","1","0","0","0","0","0"
"76",14.5610699690797,"control",0,0,"sev.nfert","Nfert",8,2011,5,"0","0","1","0","0","0","0","0"
"77",94.2742919042314,"control",0,0,"sev.nfert","Nfert",9,2012,5,"0","0","1","0","0","0","0","0"
"78",168.904215160433,"control",0,0,"sev.nfert","Nfert",10,2013,5,"0","0","1","0","0","0","0","0"
"79",103.859505545488,"control",0,0,"sev.nfert","Nfert",11,2014,5,"0","0","1","0","0","0","0","0"
"80",92.0119555585484,"control",0,0,"sev.nfert","Nfert",12,2015,5,"0","0","1","0","0","0","0","0"
"81",116.961321526286,"control",0,0,"sev.nfert","Nfert",13,2016,5,"0","0","1","0","0","0","0","0"
"82",184.869789352146,"control",0,0,"sev.nfert","Nfert",14,2017,5,"0","0","1","0","0","0","0","0"
"83",67.8301848854494,"control",0,0,"sev.nfert","Nfert",15,2018,5,"0","0","1","0","0","0","0","0"
"84",32.8983680659822,"control",0,0,"sev.nfert","Nfert",16,2019,5,"0","0","1","0","0","0","0","0"
"85",112.608909466797,"control",0,0,"sev.nfert","Nfert",17,2020,5,"0","0","1","0","0","0","0","0"
"86",53.5679245319828,"N",10,0,"sev.nfert","Nfert",1,2004,6,"0","0","1","0","0","0","0","0"
"87",85.1006301460671,"N",10,0,"sev.nfert","Nfert",2,2005,6,"0","0","1","0","0","0","0","0"
"88",407.090967426694,"N",10,0,"sev.nfert","Nfert",3,2006,6,"0","0","1","0","0","0","0","0"
"89",147.981445445527,"N",10,0,"sev.nfert","Nfert",4,2007,6,"0","0","1","0","0","0","0","0"
"90",123.808217803146,"N",10,0,"sev.nfert","Nfert",5,2008,6,"0","0","1","0","0","0","0","0"
"91",62.3285516425173,"N",10,0,"sev.nfert","Nfert",6,2009,6,"0","0","1","0","0","0","0","0"
"92",120.243141500752,"N",10,0,"sev.nfert","Nfert",7,2010,6,"0","0","1","0","0","0","0","0"
"93",17.1765822491479,"N",10,0,"sev.nfert","Nfert",8,2011,6,"0","0","1","0","0","0","0","0"
"94",85.8651611790877,"N",10,0,"sev.nfert","Nfert",9,2012,6,"0","0","1","0","0","0","0","0"
"95",218.644585915063,"N",10,0,"sev.nfert","Nfert",10,2013,6,"0","0","1","0","0","0","0","0"
"96",253.405927764886,"N",10,0,"sev.nfert","Nfert",11,2014,6,"0","0","1","0","0","0","0","0"
"97",73.1811367294342,"N",10,0,"sev.nfert","Nfert",12,2015,6,"0","0","1","0","0","0","0","0"
"98",249.061599569738,"N",10,0,"sev.nfert","Nfert",13,2016,6,"0","0","1","0","0","0","0","0"
"99",163.345245968758,"N",10,0,"sev.nfert","Nfert",14,2017,6,"0","0","1","0","0","0","0","0"
"100",51.6865387133892,"N",10,0,"sev.nfert","Nfert",15,2018,6,"0","0","1","0","0","0","0","0"
"101",3.61443518083841,"N",10,0,"sev.nfert","Nfert",16,2019,6,"0","0","1","0","0","0","0","0"
"102",29.8318726930879,"N",10,0,"sev.nfert","Nfert",17,2020,6,"0","0","1","0","0","0","0","0"
"103",40.7067218000969,"control",0,0,"sev.nfert","Nfert",1,2004,7,"0","0","1","0","0","0","0","0"
"104",71.6672413163507,"control",0,0,"sev.nfert","Nfert",2,2005,7,"0","0","1","0","0","0","0","0"
"105",140.478395697782,"control",0,0,"sev.nfert","Nfert",3,2006,7,"0","0","1","0","0","0","0","0"
"106",126.366024062716,"control",0,0,"sev.nfert","Nfert",4,2007,7,"0","0","1","0","0","0","0","0"
"107",40.601465418617,"control",0,0,"sev.nfert","Nfert",5,2008,7,"0","0","1","0","0","0","0","0"
"108",52.3942498508923,"control",0,0,"sev.nfert","Nfert",6,2009,7,"0","0","1","0","0","0","0","0"
"109",94.7997311148145,"control",0,0,"sev.nfert","Nfert",7,2010,7,"0","0","1","0","0","0","0","0"
"110",12.5446517977,"control",0,0,"sev.nfert","Nfert",8,2011,7,"0","0","1","0","0","0","0","0"
"111",53.4980501817502,"control",0,0,"sev.nfert","Nfert",9,2012,7,"0","0","1","0","0","0","0","0"
"112",156.131916223918,"control",0,0,"sev.nfert","Nfert",10,2013,7,"0","0","1","0","0","0","0","0"
"113",203.137136563575,"control",0,0,"sev.nfert","Nfert",11,2014,7,"0","0","1","0","0","0","0","0"
"114",118.174971652127,"control",0,0,"sev.nfert","Nfert",12,2015,7,"0","0","1","0","0","0","0","0"
"115",171.911033162802,"control",0,0,"sev.nfert","Nfert",13,2016,7,"0","0","1","0","0","0","0","0"
"116",107.848061868295,"control",0,0,"sev.nfert","Nfert",14,2017,7,"0","0","1","0","0","0","0","0"
"117",51.0798722152323,"control",0,0,"sev.nfert","Nfert",15,2018,7,"0","0","1","0","0","0","0","0"
"118",31.6642106588703,"control",0,0,"sev.nfert","Nfert",16,2019,7,"0","0","1","0","0","0","0","0"
"119",27.4119241655488,"control",0,0,"sev.nfert","Nfert",17,2020,7,"0","0","1","0","0","0","0","0"
"120",30.7632233464073,"N",10,0,"sev.nfert","Nfert",1,2004,8,"0","0","1","0","0","0","0","0"
"121",30.8599408859247,"N",10,0,"sev.nfert","Nfert",2,2005,8,"0","0","1","0","0","0","0","0"
"122",370.650139556649,"N",10,0,"sev.nfert","Nfert",3,2006,8,"0","0","1","0","0","0","0","0"
"123",120.367547451767,"N",10,0,"sev.nfert","Nfert",4,2007,8,"0","0","1","0","0","0","0","0"
"124",102.981830024904,"N",10,0,"sev.nfert","Nfert",5,2008,8,"0","0","1","0","0","0","0","0"
"125",61.3495916377012,"N",10,0,"sev.nfert","Nfert",6,2009,8,"0","0","1","0","0","0","0","0"
"126",111.297024557237,"N",10,0,"sev.nfert","Nfert",7,2010,8,"0","0","1","0","0","0","0","0"
"127",18.9756582371612,"N",10,0,"sev.nfert","Nfert",8,2011,8,"0","0","1","0","0","0","0","0"
"128",66.069838543835,"N",10,0,"sev.nfert","Nfert",9,2012,8,"0","0","1","0","0","0","0","0"
"129",227.571248077463,"N",10,0,"sev.nfert","Nfert",10,2013,8,"0","0","1","0","0","0","0","0"
"130",157.574437730571,"N",10,0,"sev.nfert","Nfert",11,2014,8,"0","0","1","0","0","0","0","0"
"131",60.8980186103301,"N",10,0,"sev.nfert","Nfert",12,2015,8,"0","0","1","0","0","0","0","0"
"132",198.292412638357,"N",10,0,"sev.nfert","Nfert",13,2016,8,"0","0","1","0","0","0","0","0"
"133",147.162074459285,"N",10,0,"sev.nfert","Nfert",14,2017,8,"0","0","1","0","0","0","0","0"
"134",44.0213367943449,"N",10,0,"sev.nfert","Nfert",15,2018,8,"0","0","1","0","0","0","0","0"
"135",14.4015653522015,"N",10,0,"sev.nfert","Nfert",16,2019,8,"0","0","1","0","0","0","0","0"
"136",48.7409440316759,"N",10,0,"sev.nfert","Nfert",17,2020,8,"0","0","1","0","0","0","0","0"
"137",35.9728994249194,"control",0,0,"sev.nfert","Nfert",1,2004,9,"0","0","1","0","0","0","0","0"
"138",48.7960397019128,"control",0,0,"sev.nfert","Nfert",2,2005,9,"0","0","1","0","0","0","0","0"
"139",222.006983430053,"control",0,0,"sev.nfert","Nfert",3,2006,9,"0","0","1","0","0","0","0","0"
"140",70.6379181000112,"control",0,0,"sev.nfert","Nfert",4,2007,9,"0","0","1","0","0","0","0","0"
"141",182.923251350342,"control",0,0,"sev.nfert","Nfert",5,2008,9,"0","0","1","0","0","0","0","0"
